                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.21822,                0.16354,                0.81205,                0.97553,                0.97561,                0.96767,                0.96596,                0.18805,                0.28148,                 0.6332,               0.003252,               0.003252,               0.003252
                      2,                0.17198,                0.14089,                0.78469,                 0.9679,                0.96799,                0.96364,                0.96355,                0.14993,                0.24252,                0.62966,              0.0065788,              0.0065788,              0.0065788
                      3,                0.18516,                0.15897,                0.78302,                0.93894,                0.93902,                0.92918,                0.92897,                0.18423,                0.28993,                0.62922,              0.0098991,              0.0098991,              0.0098991
                      4,                0.19174,                0.16064,                0.79053,                0.90846,                0.90854,                 0.8831,                 0.8831,                0.17575,                0.31444,                0.62852,              0.0099703,              0.0099703,              0.0099703
                      5,                0.18628,                0.15501,                0.78097,                0.99839,                0.99848,                0.99421,                0.99421,                0.14717,                0.25011,                0.62781,              0.0099703,              0.0099703,              0.0099703
                      6,                0.17715,                0.15094,                0.77284,                0.96173,                0.96189,                0.95569,                0.95569,                0.15315,                0.29573,                0.62736,              0.0099604,              0.0099604,              0.0099604
                      7,                0.17889,                0.14902,                0.77583,                0.99839,                0.99848,                0.99497,                0.99487,                0.16599,                0.28485,                0.62979,              0.0099505,              0.0099505,              0.0099505
                      8,                0.17311,                0.14661,                0.77006,                0.98451,                0.98476,                0.97843,                0.97836,                0.14759,                0.25441,                0.62944,              0.0099406,              0.0099406,              0.0099406
                      9,                0.17762,                0.14501,                0.77493,                0.99534,                0.99543,                0.99096,                0.99046,                0.21421,                0.29547,                0.63038,              0.0099307,              0.0099307,              0.0099307
                     10,                0.17668,                0.14898,                0.77241,                 0.0689,                 0.0061,                 0.0012,                 0.0012,                0.19292,                0.40124,                0.63073,              0.0099208,              0.0099208,              0.0099208
                     11,                0.17764,                 0.1479,                 0.7823,                0.99992,                      1,                  0.995,                0.99449,                 0.1882,                0.28807,                0.62877,              0.0099109,              0.0099109,              0.0099109
                     12,                0.17458,                0.14858,                0.77399,                0.99529,                0.99543,                0.99241,                0.99222,                 0.1624,                0.28999,                0.62725,               0.009901,               0.009901,               0.009901
                     13,                0.17253,                0.14667,                0.78307,                0.99687,                0.99695,                0.99213,                0.99183,                 0.1635,                0.27409,                0.62913,              0.0098911,              0.0098911,              0.0098911
                     14,                0.17416,                0.14108,                 0.7745,                0.99839,                0.99848,                0.99409,                0.99399,                0.16112,                0.26761,                0.62803,              0.0098812,              0.0098812,              0.0098812
                     15,                0.16992,                 0.1446,                0.77323,                0.99687,                0.99695,                0.99268,                0.99205,                0.19701,                0.29449,                0.63139,              0.0098713,              0.0098713,              0.0098713
                     16,                0.17271,                 0.1456,                0.78168,                0.99839,                0.99848,                0.99413,                0.99372,                0.16597,                0.25995,                0.62833,              0.0098614,              0.0098614,              0.0098614
                     17,                0.17462,                0.13887,                0.77659,                0.99839,                0.99848,                 0.9937,                0.99353,                0.13932,                0.22996,                0.62735,              0.0098515,              0.0098515,              0.0098515
                     18,                0.17062,                  0.144,                0.78034,                0.99687,                0.99695,                 0.9924,                 0.9924,                0.14947,                0.23353,                0.62743,              0.0098416,              0.0098416,              0.0098416
                     19,                0.16836,                 0.1447,                0.77747,                0.99687,                0.99695,                0.99366,                0.99366,                0.14126,                  0.269,                0.62764,              0.0098317,              0.0098317,              0.0098317
                     20,                0.17464,                0.14421,                0.78382,                0.98163,                0.98171,                 0.9807,                0.97909,                0.24009,                0.32732,                0.63374,              0.0098218,              0.0098218,              0.0098218
                     21,                0.17212,                0.13887,                0.77914,                0.99382,                 0.9939,                0.99216,                0.99007,                0.24819,                0.38156,                0.63342,              0.0098119,              0.0098119,              0.0098119
                     22,                0.16633,                0.13922,                 0.7688,                0.99992,                      1,                  0.995,                  0.995,                0.14136,                0.24509,                0.62775,               0.009802,               0.009802,               0.009802
                     23,                0.16846,                0.14346,                0.78254,                0.99839,                0.99848,                 0.9943,                 0.9943,                  0.136,                0.24323,                0.62733,              0.0097921,              0.0097921,              0.0097921
